root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:19:18.244815 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 9660:9808, ack 1, win 501, length 148
20:19:18.244842 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 9808:9844, ack 1, win 501, length 36
20:19:18.244877 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 9844:9992, ack 1, win 501, length 148
20:19:18.244903 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 9992:10028, ack 1, win 501, length 36
20:19:18.244937 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10028:10176, ack 1, win 501, length 148
20:19:18.244963 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10176:10212, ack 1, win 501, length 36
20:19:18.244999 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10212:10360, ack 1, win 501, length 148
20:19:18.245026 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10360:10396, ack 1, win 501, length 36
20:19:18.245060 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10396:10544, ack 1, win 501, length 148
20:19:18.245086 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10544:10580, ack 1, win 501, length 36
20:19:18.245121 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10580:10728, ack 1, win 501, length 148
20:19:18.245147 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10728:10764, ack 1, win 501, length 36
20:19:18.245180 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10764:10912, ack 1, win 501, length 148
20:19:18.245206 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10912:10948, ack 1, win 501, length 36
20:19:18.245241 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 10948:11096, ack 1, win 501, length 148
20:19:18.245268 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11096:11132, ack 1, win 501, length 36
20:19:18.263544 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 8004, win 4106, length 0
20:19:18.263544 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 11132, win 4106, length 0
20:19:18.263618 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11132:11484, ack 1, win 501, length 352
